#{"t_start": 1764343591.063526, "env_id": "None"}
r,l,t
-410.990958,150,4.477032
-424.621117,150,6.141682
-410.235932,150,7.74008
-443.444359,150,9.33623
-448.216628,150,10.940768
-417.215168,150,12.535002
-423.298961,150,14.157761
-412.075251,150,15.738406
-438.722939,150,17.33223
-432.66167,150,18.930161
-407.764083,150,20.603216
-440.110438,150,22.332177
-428.61813,150,24.089679
-433.550455,150,72.120667
-425.578848,150,73.908191
-407.730509,150,75.634396
-417.990679,150,77.382227
-386.219755,150,79.111919
-439.426903,150,80.86302
-441.080661,150,82.6444
-421.433948,150,84.362413
-408.19284,150,86.15513
-422.088052,150,87.949596
-420.530284,150,89.79456
-444.651477,150,91.677223
-412.054262,150,93.460806
-438.830697,150,95.239149
-443.187232,150,144.510772
-418.263563,150,146.296961
-423.229184,150,148.058958
-413.062101,150,149.809747
-437.491436,150,151.612252
-436.206584,150,153.317868
-409.852139,150,155.124324
-435.410305,150,156.899239
-412.631912,150,158.638228
-425.134332,150,160.398199
-430.517254,150,162.227626
-428.089951,150,164.013342
-422.95096,150,165.735087
-442.723206,150,216.418055
-406.13124,150,218.199689
-430.55827,150,219.994421
-412.261916,150,221.741745
-430.001003,150,223.486263
-417.783064,150,225.272125
-429.626932,150,227.061811
-401.199381,150,228.830364
-452.809855,150,230.630361
-439.794272,150,232.456802
-438.854133,150,234.22634
-426.045142,150,236.000861
-419.28822,150,237.807942
-396.36815,150,239.61389
-432.288537,150,289.45141
-425.386451,150,291.198937
-432.859436,150,292.92112
-404.091474,150,294.723517
-432.023267,150,296.44623
-449.417958,150,298.20823
-420.451755,150,299.970047
-415.790505,150,301.731765
-405.114355,150,303.447855
-411.624384,150,305.228175
-427.200968,150,307.03772
-415.091106,150,308.778428
-434.375683,150,310.544249
-410.892144,150,312.339719
-436.554608,150,362.674875
-423.889179,150,364.461293
-422.798588,150,366.292077
-407.696539,150,368.064798
-400.297368,150,369.860186
-421.265126,150,371.668442
-391.351134,150,373.480134
-421.425535,150,375.320358
-405.689449,150,377.170185
-410.020213,150,379.000372
-404.038618,150,380.781633
-417.270928,150,382.611151
-421.10709,150,384.375306
-430.381374,150,433.815081
-401.655588,150,435.629036
-419.989258,150,437.335241
-412.780503,150,439.138646
-409.512877,150,440.897449
-403.873454,150,442.630854
-422.401701,150,444.353339
-404.632107,150,446.101643
-399.468378,150,447.833216
-435.396112,150,449.585842
-444.397225,150,451.405708
-432.612904,150,453.180738
-389.79073,150,454.953802
-429.472943,150,456.75567
-403.737732,150,504.466517
-389.911007,150,506.282177
-384.110395,150,508.088384
-399.045085,150,509.842513
-402.160421,150,511.61118
-421.910736,150,513.381785
-403.635702,150,515.159759
-384.918147,150,516.926522
-395.648521,150,518.730817
-424.928892,150,520.538148
-393.09884,150,522.305657
-410.085863,150,524.079118
-399.332079,150,525.849019
-419.381895,150,527.6226
-399.273679,150,577.83754
-396.092605,150,579.644259
-408.982472,150,581.449395
-393.591411,150,583.234278
-393.851709,150,585.080979
-389.640685,150,586.907213
-420.113887,150,588.667382
-405.154287,150,590.45776
-393.423226,150,592.275997
-405.269374,150,594.014853
-380.732777,150,595.784298
-391.012243,150,597.520421
-403.127906,150,599.301906
