#{"t_start": 1764393610.743895, "env_id": "None"}
r,l,t
75.31003,150,3.733126
64.97163,150,4.8609
65.908492,150,5.974101
63.453389,150,7.105495
79.063706,150,8.211327
65.818936,150,9.311074
59.285088,150,23.548394
79.406954,150,24.847087
73.270271,150,26.117548
69.249524,150,27.363608
62.702803,150,28.623105
61.803318,150,29.859056
78.395875,150,31.120549
70.064106,150,34.47714
54.218835,150,35.822656
55.448221,150,37.10018
73.272561,150,38.385459
71.264239,150,39.679111
64.451449,150,40.938929
68.38402,150,42.183015
69.49008,150,46.642675
73.389384,150,47.839021
68.230064,150,49.059545
75.332535,150,50.307598
66.989529,150,51.550181
56.447617,150,52.779546
78.325186,150,53.996057
78.060628,150,68.024733
55.969884,150,69.231426
57.153066,150,70.426396
60.705405,150,71.628224
54.990401,150,72.912419
57.767247,150,74.229051
76.190902,150,75.483901
78.066388,150,89.664181
53.86391,150,90.922137
70.593318,150,92.179022
69.909062,150,93.434315
79.451177,150,94.671401
71.433088,150,95.935187
61.545013,150,110.133179
54.911629,150,111.393153
54.770854,150,112.708564
55.818546,150,114.113003
64.027749,150,115.497914
61.73756,150,116.857573
59.806684,150,118.211043
50.722972,150,133.117599
70.156995,150,134.409647
57.36976,150,135.648039
67.561479,150,136.883567
52.653554,150,138.184053
71.154398,150,139.415003
61.698751,150,140.632046
62.191269,150,154.636387
58.737071,150,155.841635
67.659953,150,157.074816
53.054893,150,158.307008
74.70008,150,159.527053
64.926369,150,160.771721
77.558905,150,161.992227
60.800625,150,176.66991
66.380766,150,178.027513
70.212135,150,179.380761
76.254638,150,180.758833
72.84186,150,182.118516
59.779217,150,183.444866
61.705042,150,184.75691
59.885231,150,199.236688
60.423604,150,200.483287
76.816954,150,201.766843
66.356901,150,203.028384
77.167735,150,204.305991
62.816657,150,205.605732
60.024268,150,206.867061
67.94749,150,220.892907
72.538686,150,222.12707
61.932876,150,223.359079
62.281272,150,224.585569
66.796713,150,225.835186
58.552425,150,227.090528
67.545444,150,241.218537
68.159267,150,242.481284
59.907943,150,243.695996
68.68292,150,244.914575
64.655817,150,246.121679
64.417836,150,247.387805
77.985725,150,248.685111
54.643715,150,262.960471
73.410096,150,264.191874
70.7515,150,265.416548
56.419605,150,266.659086
83.662758,150,267.874357
61.290631,150,269.144272
59.639778,150,270.344686
80.592282,150,284.616446
68.20398,150,285.858579
66.7396,150,287.115543
59.148757,150,288.383463
57.473652,150,289.660197
56.072022,150,290.956037
57.107473,150,292.251544
71.305616,150,306.859164
73.785878,150,308.201425
63.334998,150,309.575266
61.715027,150,310.942074
71.071797,150,312.322587
75.472293,150,313.719085
69.196851,150,315.120038
80.060116,150,330.084525
81.346048,150,331.46646
71.07946,150,332.835107
65.377109,150,334.216154
64.416497,150,335.53634
63.783777,150,336.866132
55.26433,150,338.173665
61.472339,150,353.181974
63.709649,150,354.592614
67.254664,150,355.99897
65.603644,150,357.373631
69.303668,150,358.753248
64.956014,150,360.160949
73.447781,150,374.993786
77.308471,150,376.277923
71.731809,150,377.523039
69.701352,150,378.786606
57.203275,150,380.069313
74.103606,150,381.37209
79.287164,150,382.671736
57.702056,150,397.33578
71.324568,150,398.59457
76.889602,150,399.867113
61.406419,150,401.169508
61.846753,150,402.428813
69.950784,150,403.720923
62.992584,150,405.041813
77.670206,150,419.707823
55.658534,150,421.031734
68.473891,150,422.496099
71.001023,150,423.798086
62.078332,150,425.10517
80.506543,150,426.44894
62.242876,150,427.829052
75.137338,150,442.703544
63.813146,150,444.032356
69.714154,150,445.372128
