#{"t_start": 1764393610.5447257, "env_id": "None"}
r,l,t
61.971386,150,3.932295
74.459375,150,5.061066
73.86177,150,6.174271
66.673891,150,7.304665
57.332932,150,8.409451
64.598008,150,9.510244
66.681303,150,23.747563
64.156914,150,25.046257
59.083087,150,26.318729
56.53877,150,27.562778
55.758473,150,28.822275
64.159252,150,30.058225
65.297537,150,31.320717
62.711108,150,34.67631
60.526361,150,36.020828
56.468943,150,37.29935
50.904065,150,38.585698
55.699518,150,39.878281
53.798199,150,41.139494
60.964888,150,42.382184
77.531259,150,46.842843
55.864502,150,48.040193
53.666873,150,49.258714
68.766159,150,50.507766
59.538912,150,51.74935
55.40196,150,52.979951
74.413618,150,54.195226
79.572925,150,68.224902
69.928652,150,69.430595
79.427581,150,70.626565
55.293519,150,71.829391
57.249689,150,73.111589
63.909883,150,74.427222
74.453591,150,75.680978
69.182133,150,89.86335
76.673453,150,91.123329
65.96045,150,92.378192
57.417976,150,93.635536
52.961773,150,94.87057
72.268014,150,96.135353
66.66644,150,110.332349
60.873713,150,111.58908
79.03565,150,112.906723
52.581311,150,114.312173
50.31879,150,115.696084
73.074379,150,117.056743
60.132072,150,118.412476
57.860612,150,133.319819
67.363412,150,134.610846
74.458426,150,135.847208
58.928689,150,137.082737
61.239263,150,138.383223
54.727199,150,139.612721
74.763463,150,140.831215
63.817488,150,154.833529
63.296828,150,156.039303
61.48181,150,157.273985
57.30133,150,158.506178
54.266597,150,159.726223
66.850336,150,160.969892
70.044177,150,162.191396
76.885975,150,176.870112
78.66213,150,178.225681
57.883817,150,179.57993
54.922819,150,180.958003
79.026247,150,182.317685
63.478253,150,183.645032
78.17986,150,184.95608
67.388363,150,199.435858
69.030287,150,200.682456
74.652709,150,201.968015
69.053703,150,203.225553
63.083247,150,204.504161
68.755688,150,205.803903
68.540045,150,207.06623
64.583961,150,221.092076
71.024779,150,222.327238
61.190286,150,223.558249
68.407747,150,224.78773
76.935709,150,226.034356
