#{"t_start": 1764393610.5415945, "env_id": "None"}
r,l,t
72.094409,150,3.935426
57.67186,150,5.064197
54.44303,150,6.176402
67.394627,150,7.308818
52.615346,150,8.412583
79.492843,150,9.513375
58.267347,150,23.751694
59.732778,150,25.050387
62.158919,150,26.320847
62.134607,150,27.565909
63.252944,150,28.825406
65.477035,150,30.061356
59.279004,150,31.323848
67.851963,150,34.679441
65.537267,150,36.024956
49.601879,150,37.301466
80.080842,150,38.58776
62.099798,150,39.881412
65.537665,150,41.141229
53.25097,150,42.385315
45.256756,150,46.845974
58.523844,150,48.041322
63.443904,150,49.261845
61.797504,150,50.510897
76.471873,150,51.753519
77.943319,150,52.981846
62.914474,150,54.198358
56.487206,150,68.227034
51.852607,150,69.433726
63.854971,150,70.627698
75.916167,150,71.831523
61.005754,150,73.11472
57.497006,150,74.431352
52.603369,150,75.684109
73.802,150,89.865481
53.78501,150,91.124437
68.684888,150,92.380323
69.499803,150,93.636616
56.556385,150,94.873702
71.867744,150,96.137487
63.213106,150,110.336852
59.936486,150,111.593423
67.037978,150,112.909854
80.767493,150,114.315304
55.683281,150,115.700214
74.433837,150,117.061347
71.927929,150,118.415607
66.701691,150,133.321941
52.470068,150,134.611947
54.579615,150,135.84934
63.340278,150,137.085868
78.796793,150,138.385352
64.874149,150,139.617304
59.801583,150,140.834346
62.246931,150,154.837658
76.055245,150,156.042936
67.996289,150,157.277116
76.073798,150,158.509309
77.308712,150,159.728222
75.271669,150,160.974021
59.807516,150,162.194528
59.341389,150,176.874238
72.759882,150,178.229813
55.300878,150,179.584062
65.093735,150,180.961134
56.252475,150,182.319502
81.202058,150,183.647166
65.374814,150,184.959211
61.620905,150,199.439987
82.05122,150,200.685587
67.342916,150,201.970146
56.545723,150,203.230685
68.960952,150,204.508291
55.582108,150,205.807034
80.957448,150,207.069361
58.145972,150,221.095207
82.542482,150,222.32937
69.800113,150,223.55998
58.240856,150,224.788867
64.241193,150,226.037487
70.822755,150,227.295333
54.103306,150,241.419831
62.476971,150,242.683585
54.164612,150,243.898297
71.060758,150,245.117896
66.514062,150,246.322981
70.269132,150,247.590105
70.036914,150,248.887412
75.987213,150,263.161739
60.847199,150,264.394175
78.198963,150,265.617849
60.429614,150,266.859331
74.278458,150,268.077654
70.179611,150,269.346573
54.749937,150,270.545982
78.807661,150,284.819745
65.56118,150,286.060879
71.041312,150,287.316845
76.345051,150,288.585763
68.894719,150,289.862498
57.707938,150,291.158337
71.009665,150,292.453845
57.510657,150,307.061464
56.055161,150,308.401695
69.184372,150,309.777567
71.742543,150,311.14688
73.990566,150,312.524887
60.824449,150,313.921385
65.036097,150,315.321334
71.707779,150,330.287856
57.0415,150,331.667763
63.406932,150,333.037408
80.959287,150,334.417449
71.439559,150,335.738641
77.634179,150,337.067432
70.669655,150,338.374951
59.429279,150,353.384274
62.326411,150,354.794915
73.043584,150,356.201271
77.444763,150,357.575932
81.34326,150,358.955549
52.929856,150,360.36325
65.282031,150,375.197112
80.295371,150,376.48122
60.464404,150,377.72534
75.101356,150,378.988907
59.903671,150,380.272859
82.480839,150,381.5756
71.26349,150,382.874037
70.400038,150,397.536072
58.30672,150,398.797869
79.668048,150,400.069413
72.927339,150,401.371809
65.962739,150,402.631113
75.85093,150,403.923224
76.462408,150,405.245116
69.509093,150,419.91112
77.052889,150,421.236049
71.395795,150,422.6984
76.482963,150,423.999386
65.924226,150,425.308918
70.216592,150,426.652241
68.333991,150,428.031352
63.029589,150,442.905844
56.64244,150,444.233658
78.204555,150,445.574428
58.811502,150,446.92705
77.001614,150,448.272723
71.696226,150,449.620516
56.898915,150,450.955027
67.163383,150,465.950994
70.593156,150,467.25273
66.296852,150,468.52821
73.383374,150,469.774087
67.274949,150,471.029421
54.789891,150,472.279042
77.735823,150,473.554214
65.322396,150,487.690223
56.286949,150,488.945863
69.535847,150,490.236208
74.387299,150,491.559936
78.670473,150,492.835625
69.09871,150,494.140935
65.564079,150,508.392019
63.350335,150,509.639174
55.74516,150,510.859079
56.681004,150,512.082416
76.65027,150,513.312266
69.051605,150,514.579334
68.999182,150,515.7856
58.364146,150,529.793139
65.548502,150,531.01175
70.337147,150,532.240943
64.538555,150,533.461076
66.739838,150,534.687102
70.453117,150,535.941717
56.821188,150,537.160983
52.583166,150,551.379447
81.664441,150,552.597986
64.068195,150,553.854507
64.24026,150,555.197071
79.688817,150,556.46984
80.465658,150,557.703932
59.048461,150,558.981043
57.086197,150,573.282737
57.221021,150,574.86952
54.586311,150,576.143717
78.875999,150,577.430251
77.428858,150,578.741577
57.693928,150,580.07509
64.24815,150,581.323786
75.154724,150,595.728913
62.660282,150,597.005842
72.693782,150,598.481574
84.258237,150,599.734976
64.03151,150,600.977147
60.031144,150,602.287531
76.894666,150,616.682943
75.619284,150,617.969681
55.497223,150,619.260914
63.59729,150,620.517417
58.392749,150,621.785726
65.016066,150,623.115146
77.670157,150,624.387463
60.821444,150,638.827922
81.028337,150,640.118427
71.017683,150,641.355507
64.226581,150,642.661952
