#{"t_start": 1764393610.7288642, "env_id": "None"}
r,l,t
75.158857,150,3.748157
73.425651,150,4.876928
67.342785,150,5.990132
75.202574,150,7.119509
58.226151,150,8.226358
56.341143,150,9.326105
68.304275,150,23.563425
59.111105,150,24.862118
60.366266,150,26.134591
82.712266,150,27.377557
71.68906,150,28.638136
72.095867,150,29.874087
68.100792,150,31.136579
68.254568,150,34.492171
58.341344,150,35.83669
52.550219,150,37.115211
65.559904,150,38.40049
66.531965,150,39.694142
59.971077,150,40.955355
64.685979,150,42.198046
57.951243,150,46.658705
55.107601,150,47.856054
63.712572,150,49.073516
56.592241,150,50.323627
68.671139,150,51.565212
56.960485,150,52.795813
56.814213,150,54.011088
62.96995,150,68.039764
67.795728,150,69.246456
70.475297,150,70.443426
77.056808,150,71.643255
67.711367,150,72.92745
57.759611,150,74.244082
63.617936,150,75.498931
68.400264,150,89.678211
74.187166,150,90.938166
66.692617,150,92.193053
63.879503,150,93.448345
71.949645,150,94.68441
76.463357,150,95.950218
76.075436,150,110.14821
66.555534,150,111.404941
78.057432,150,112.722584
62.367904,150,114.128034
63.51741,150,115.511945
70.712426,150,116.872604
59.504532,150,118.228338
77.686762,150,133.13263
76.038253,150,134.425708
66.632301,150,135.663069
61.279273,150,136.898598
71.760368,150,138.199084
60.37199,150,139.430034
61.635763,150,140.647076
62.854672,150,154.651418
52.278377,150,155.856665
63.148539,150,157.089846
78.06242,150,158.322039
59.88742,150,159.542084
70.539248,150,160.785753
53.79691,150,162.007258
57.644956,150,176.685973
72.799844,150,178.041542
69.773471,150,179.396792
62.362831,150,180.773864
57.756359,150,182.133547
54.234428,150,183.459897
69.714143,150,184.77294
63.765356,150,199.254744
75.664146,150,200.498317
59.671782,150,201.780876
65.350737,150,203.041415
72.63477,150,204.319024
56.004889,150,205.620763
76.018574,150,206.881091
69.329013,150,220.907938
60.700147,150,222.1431
71.642683,150,223.37411
60.066709,150,224.601597
50.279384,150,225.850217
56.457199,150,227.107561
63.24281,150,241.231539
66.748051,150,242.495288
64.423649,150,243.711027
73.499277,150,244.929606
75.882337,150,246.13671
55.869689,150,247.401787
58.615272,150,248.700142
78.990533,150,262.975502
78.031591,150,264.206905
74.452687,150,265.430579
74.485435,150,266.674117
50.264322,150,267.889387
55.680051,150,269.159303
74.487021,150,270.359717
65.510627,150,284.63041
55.380257,150,285.87361
57.471854,150,287.132576
57.816634,150,288.398494
72.766566,150,289.675228
58.083754,150,290.971068
62.63438,150,292.266575
69.72411,150,306.874194
74.116905,150,308.214425
68.734032,150,309.59131
67.318423,150,310.958607
79.240053,150,312.337617
81.497234,150,313.734116
63.647972,150,315.135069
68.617086,150,330.099555
61.356314,150,331.480493
81.058267,150,332.848085
57.667404,150,334.231184
58.236126,150,335.553379
63.673402,150,336.881163
66.657182,150,338.188696
71.787265,150,353.195993
80.930191,150,354.607645
54.871442,150,356.014001
82.509128,150,357.388662
75.757202,150,358.77127
56.31005,150,360.178055
82.297167,150,375.007353
58.977051,150,376.293951
70.906095,150,377.53807
70.365171,150,378.801637
77.563485,150,380.085589
57.043833,150,381.387121
55.322606,150,382.686767
75.100419,150,397.350811
78.850322,150,398.6106
63.479318,150,399.881145
60.246846,150,401.184539
82.38917,150,402.443844
74.864322,150,403.735954
67.189187,150,405.057847
69.824346,150,419.722854
62.010441,150,421.048779
77.956162,150,422.51113
60.507366,150,423.812117
76.032426,150,425.1202
55.604633,150,426.463971
72.419461,150,427.844083
60.754762,150,442.718575
74.070998,150,444.047387
56.689779,150,445.388164
75.767317,150,446.74078
75.979719,150,448.084452
81.788542,150,449.431252
71.771538,150,450.768758
58.360652,150,465.76472
80.811051,150,467.06546
63.57837,150,468.339941
80.59249,150,469.586817
74.615864,150,470.84315
59.975465,150,472.090771
81.268375,150,473.365713
58.522313,150,487.505994
72.582213,150,488.760918
60.008975,150,490.050013
77.357131,150,491.372666
77.660607,150,492.648355
68.010041,150,493.952399
55.927156,150,508.20577
73.323178,150,509.451904
76.736965,150,510.671809
66.526689,150,511.896171
65.176916,150,513.123998
60.121773,150,514.392064
57.922478,150,515.597331
78.027954,150,529.604868
74.577031,150,530.825477
59.220407,150,532.052437
54.063787,150,533.273806
59.267722,150,534.499833
80.058715,150,535.754448
79.237143,150,536.973714
65.102538,150,551.193176
80.09432,150,552.409717
55.885978,150,553.667237
66.51451,150,555.009801
55.419371,150,556.28357
63.221222,150,557.516662
74.962461,150,558.793774
58.449931,150,573.095468
78.212196,150,574.683249
56.827499,150,575.954397
56.846807,150,577.242981
62.17746,150,578.553309
75.305916,150,579.889814
74.215744,150,581.135519
73.695276,150,595.541643
67.68398,150,596.818573
75.907208,150,598.294304
66.39267,150,599.547706
80.556994,150,600.790877
64.478774,150,602.100261
79.735943,150,616.499756
62.567587,150,617.782411
55.934991,150,619.073644
76.677807,150,620.332146
72.565733,150,621.599471
80.246772,150,622.9302
73.702108,150,624.199197
64.652022,150,638.641862
69.25165,150,639.931157
73.180882,150,641.169702
78.933747,150,642.472642
78.09143,150,643.976147
74.357254,150,645.28919
63.283901,150,646.673073
64.303598,150,661.699611
62.976733,150,663.091209
67.263589,150,664.474464
79.691276,150,665.878977
78.497185,150,667.257836
58.574365,150,668.617175
68.803018,150,669.998123
52.161343,150,685.107447
80.391833,150,686.50181
54.470095,150,687.908606
71.044061,150,689.379242
73.138368,150,690.767717
53.804466,150,692.182774
79.873819,150,693.561049
66.198966,150,708.7616
63.438459,150,710.04317
69.588473,150,711.325619
69.391142,150,712.579488
54.271574,150,713.886465
65.917027,150,715.08971
67.665287,150,716.312263
74.234211,150,730.642601
69.037454,150,731.868314
62.653346,150,733.13457
63.917145,150,734.37199
56.9514,150,735.593112
77.789977,150,736.791213
59.601165,150,751.108437
54.757272,150,752.361723
61.169934,150,753.584108
74.274838,150,754.799755
72.358573,150,756.058359
61.490103,150,757.376255
63.876451,150,758.665883
70.147201,150,773.415268
68.335112,150,774.776744
69.306045,150,776.135931
52.970693,150,777.494229
63.899526,150,778.975674
63.410466,150,780.347389
73.869071,150,781.721848
70.143617,150,796.840982
67.291625,150,798.257835
63.59737,150,799.642816
62.464996,150,801.000938
63.961485,150,802.392176
66.413474,150,803.731159
73.060838,150,805.089184
62.416556,150,820.378702
64.582084,150,821.760892
54.231652,150,823.200585
76.029579,150,824.589784
61.751988,150,825.965155
70.091526,150,827.354192
58.454314,150,828.719389
61.56463,150,843.796234
76.876509,150,845.058763
52.963319,150,846.318868
80.300303,150,847.546795
76.999247,150,848.786963
70.752369,150,850.036981
67.665204,150,851.330448
66.790667,150,865.513676
63.004207,150,866.743731
53.890758,150,867.978243
57.212298,150,869.445651
61.506401,150,870.709171
79.861679,150,871.988474
59.778783,150,886.313085
64.203347,150,887.559877
63.23103,150,888.819411
59.725034,150,890.063217
68.448558,150,891.300936
56.976181,150,892.506271
76.975947,150,893.703754
73.215462,150,908.221236
68.763402,150,909.610738
74.167884,150,910.93988
60.954528,150,912.308959
53.078972,150,913.709023
57.656779,150,915.092785
61.547459,150,916.463806
63.881546,150,931.190155
74.052816,150,932.380873
73.274647,150,933.597203
71.627928,150,934.79002
77.585308,150,935.993762
58.729517,150,937.215012
60.629689,150,938.44876
64.294331,150,952.679272
72.414647,150,953.913764
73.207986,150,955.138279
56.728939,150,956.352137
57.92966,150,957.618673
57.036351,150,958.98377
58.327555,150,960.261958
66.635222,150,974.992647
62.64646,150,976.337235
72.444026,150,977.679821
58.558385,150,979.024501
54.022645,150,980.332834
79.513508,150,981.67914
59.49851,150,982.992204
58.752224,150,992.870734
71.085499,150,994.121399
56.693405,150,995.371599
67.442208,150,996.631403
67.365457,150,997.872965
75.255906,150,999.129991
62.001337,150,1013.370834
71.657913,150,1014.63284
56.964624,150,1015.893912
59.621755,150,1017.130835
68.445004,150,1018.372044
71.478818,150,1019.679355
54.902985,150,1020.890675
76.009814,150,1035.309426
60.672733,150,1036.562364
61.545146,150,1037.886995
55.083102,150,1039.159511
81.451807,150,1040.434723
76.881395,150,1041.682061
62.153269,150,1042.960659
64.382906,150,1057.649346
70.534878,150,1059.052456
60.715417,150,1060.435619
56.175672,150,1061.783621
57.732856,150,1063.172144
63.61615,150,1064.638783
78.199332,150,1066.03902
57.6269,150,1080.567882
78.835081,150,1081.820315
74.922581,150,1083.095486
69.087578,150,1084.325656
62.563737,150,1085.578774
77.228214,150,1086.870123
55.670839,150,1088.132814
56.838065,150,1102.414808
70.316402,150,1103.764296
59.362846,150,1104.996421
80.086975,150,1106.246891
59.525909,150,1107.479422
75.555073,150,1108.758836
81.855791,150,1123.164989
71.018223,150,1124.578311
75.338764,150,1125.802772
61.787668,150,1127.045999
55.713618,150,1128.243298
77.630806,150,1129.470301
70.896806,150,1130.684233
78.722521,150,1144.884826
63.359554,150,1146.108867
60.367781,150,1147.313849
66.517778,150,1148.516874
63.108156,150,1149.721066
83.475811,150,1150.93361
57.338069,150,1152.155435
58.911636,150,1166.6655
61.707571,150,1167.881335
65.842211,150,1169.16716
75.204726,150,1170.402577
63.305244,150,1171.6314
70.590275,150,1172.848835
61.386025,150,1174.063976
71.014446,150,1188.331502
68.915169,150,1189.612796
57.398884,150,1190.884845
55.094736,150,1192.266083
64.919679,150,1193.584374
62.249041,150,1194.966655
79.213977,150,1196.231021
67.210706,150,1210.620389
64.01643,150,1211.874947
64.00685,150,1213.138836
66.389442,150,1214.589202
64.112488,150,1215.846375
69.619451,150,1217.045759
80.52807,150,1218.30229
59.093712,150,1232.393509
60.705647,150,1233.582377
57.919228,150,1234.787336
57.905509,150,1236.007048
70.097979,150,1237.216809
63.566268,150,1238.419908
74.647322,150,1252.565937
82.208939,150,1253.75975
67.77603,150,1254.990836
67.807405,150,1256.201847
65.511935,150,1257.392693
63.713769,150,1258.599004
66.1522,150,1259.983898
62.153524,150,1274.11853
71.984743,150,1275.350849
79.520079,150,1276.553333
55.487126,150,1277.75185
84.056609,150,1278.96487
66.527448,150,1280.199112
61.872548,150,1281.416329
64.168435,150,1295.732674
58.968701,150,1296.978082
57.047416,150,1298.220753
72.155255,150,1299.478346
81.123295,150,1300.728543
74.800359,150,1302.005689
71.881079,150,1303.239914
70.677769,150,1317.384946
