#{"t_start": 1764393610.743895, "env_id": "None"}
r,l,t
60.269816,150,3.732111
58.251552,150,4.861897
56.903024,150,5.975101
80.20107,150,7.104479
67.060084,150,8.210282
63.890393,150,9.311074
76.323873,150,23.548394
55.514005,150,24.848086
63.983056,150,26.11956
54.346709,150,27.362526
54.630609,150,28.623105
56.43124,150,29.859056
62.611685,150,31.121548
60.076351,150,34.47714
52.041655,150,35.822656
56.235532,150,37.10018
65.571855,150,38.385459
52.70065,150,39.679111
69.613219,150,40.940324
52.793214,150,42.183015
53.836984,150,46.643674
55.016092,150,47.841023
59.129258,150,49.058486
57.559265,150,50.308597
51.176527,150,51.552219
57.481546,150,52.779546
64.485085,150,53.995059
77.320811,150,68.024733
56.324971,150,69.231426
55.047195,150,70.428396
64.196575,150,71.628224
51.745039,150,72.912419
79.768292,150,74.229051
61.080714,150,75.483901
69.897475,150,89.664181
59.780088,150,90.921137
68.552671,150,92.178022
69.621633,150,93.433314
63.689273,150,94.671401
64.455744,150,95.936184
75.958341,150,110.133179
64.986561,150,111.391123
62.86613,150,112.707554
77.728016,150,114.113003
58.667444,150,115.496914
66.328549,150,116.857573
54.509719,150,118.213307
66.177679,150,133.12065
70.035587,150,134.409647
50.249851,150,135.648039
67.115994,150,136.883567
52.674152,150,138.184053
61.652043,150,139.413551
54.785071,150,140.631044
66.026906,150,154.634359
60.420534,150,155.840635
56.533425,150,157.074816
67.982755,150,158.307008
81.698942,150,159.527053
59.844472,150,160.771721
76.113427,150,161.992227
75.222413,150,176.670942
81.270814,150,178.027513
57.791971,150,179.380761
78.372942,150,180.757834
52.339,150,182.117201
55.702557,150,183.445862
62.170776,150,184.75691
61.399618,150,199.236688
60.021371,150,200.483287
79.165213,150,201.765845
55.455002,150,203.026384
55.98471,150,204.305991
56.291877,150,205.604734
54.455048,150,206.867061
66.971567,150,220.892907
63.799233,150,222.128069
56.994735,150,223.35768
78.758739,150,224.586566
67.404966,150,225.835186
73.77194,150,227.090528
66.039286,150,241.216508
76.498007,150,242.480258
61.720779,150,243.695996
70.64318,150,244.914575
56.258832,150,246.121679
74.710854,150,247.387805
76.154586,150,248.686108
61.425618,150,262.95843
55.556878,150,264.191874
71.728055,150,265.416548
61.35458,150,266.657031
72.495722,150,267.874357
55.838518,150,269.142076
77.158393,150,270.342272
59.230788,150,284.615379
73.411386,150,285.858579
73.130739,150,287.114544
55.606947,150,288.383463
72.171212,150,289.660197
53.184432,150,290.956037
74.987336,150,292.251544
61.695363,150,306.859164
65.028769,150,308.197397
60.577441,150,309.575266
68.83992,150,310.943576
71.202277,150,312.322587
58.584548,150,313.718088
53.088546,150,315.120038
65.445676,150,330.084525
73.45796,150,331.46646
75.929866,150,332.834056
68.481871,150,334.215149
60.420591,150,335.535339
56.130125,150,336.866132
81.299391,150,338.173665
79.386346,150,353.181974
68.541698,150,354.591616
73.293951,150,355.99897
63.947709,150,357.375059
69.566986,150,358.756239
73.454581,150,360.162025
66.475977,150,374.992322
65.907828,150,376.279917
54.914818,150,377.523039
64.286331,150,378.786606
54.36224,150,380.069313
80.605644,150,381.37209
62.585463,150,382.671736
65.118065,150,397.33578
67.860945,150,398.595569
68.258765,150,399.867113
72.630399,150,401.169508
53.732614,150,402.428813
65.767028,150,403.720923
64.210834,150,405.042816
73.600827,150,419.710815
80.866712,150,421.031734
76.223296,150,422.496099
70.817087,150,423.797086
81.493031,150,425.10517
61.229429,150,426.44894
59.129428,150,427.828053
78.120968,150,442.702542
72.811813,150,444.032356
81.674357,150,445.372128
77.322484,150,446.72475
68.667873,150,448.069422
71.940006,150,449.417218
59.841785,150,450.752726
60.989777,150,465.748693
61.342947,150,467.050429
73.649594,150,468.325909
53.278059,150,469.571786
54.863921,150,470.828119
68.663326,150,472.07574
76.067841,150,473.351914
74.993217,150,487.488922
63.2284,150,488.744628
61.785363,150,490.033908
57.124637,150,491.356637
75.858633,150,492.632316
56.374623,150,493.939636
77.707575,150,508.190739
67.940393,150,509.435876
71.108021,150,510.656778
60.92095,150,511.88114
56.401695,150,513.110994
61.15918,150,514.377033
64.871153,150,515.583299
73.506466,150,529.589837
56.761146,150,530.809449
76.822658,150,532.036407
54.741239,150,533.258775
54.584454,150,534.484802
58.190238,150,535.73842
82.958239,150,536.958683
77.717658,150,551.177147
71.595837,150,552.395685
59.479213,150,553.652206
67.495203,150,554.994771
78.072788,150,556.26754
68.840236,150,557.501631
57.610867,150,558.779742
51.560334,150,573.080437
64.907226,150,574.66722
68.740704,150,575.939366
55.181542,150,577.227951
80.067323,150,578.539277
69.784393,150,579.874784
61.960663,150,581.119492
64.96454,150,595.525426
60.604328,150,596.803542
63.10057,150,598.279273
57.81475,150,599.532676
64.336783,150,600.775846
66.739755,150,602.085231
66.374041,150,616.481639
69.749112,150,617.76738
57.718085,150,619.058613
68.578559,150,620.313825
57.365086,150,621.583426
80.947915,150,622.913843
66.145379,150,624.184166
56.753161,150,638.625622
80.372886,150,639.915128
80.897281,150,641.154671
81.438577,150,642.460656
72.197692,150,643.960119
50.810551,150,645.273162
75.860126,150,646.660168
65.25127,150,661.68458
59.560433,150,663.076178
66.687686,150,664.459433
64.601646,150,665.862801
62.109339,150,667.241804
65.358057,150,668.602144
75.186163,150,669.982093
56.270433,150,685.092416
57.678115,150,686.486779
55.755384,150,687.894585
53.212203,150,689.363213
74.809014,150,690.751684
72.126638,150,692.166746
62.316156,150,693.546018
70.633574,150,708.746569
77.053482,150,710.028139
61.312604,150,711.3126
55.955827,150,712.564457
61.797929,150,713.870406
76.144082,150,715.07468
64.497358,150,716.295094
59.615119,150,730.62757
66.099474,150,731.85428
62.138524,150,733.119539
63.366168,150,734.356959
73.476654,150,735.578081
64.706453,150,736.776182
61.932022,150,751.093406
75.526205,150,752.34769
54.293609,150,753.569077
62.36622,150,754.784724
71.308124,150,756.043329
79.535926,150,757.360219
73.857752,150,758.65285
72.479112,150,773.400237
62.054172,150,774.761713
55.958146,150,776.1209
57.552983,150,777.479198
77.070947,150,778.960643
66.837417,150,780.332358
62.399951,150,781.706818
59.647769,150,796.824947
80.572134,150,798.240806
66.404185,150,799.625788
64.896733,150,800.985907
59.956762,150,802.378453
76.73205,150,803.715131
69.566729,150,805.072153
59.592477,150,820.363672
61.753727,150,821.747167
