#{"t_start": 1764393610.5613103, "env_id": "None"}
r,l,t
74.99077,150,3.91571
69.484689,150,5.044482
68.158871,150,6.157686
67.534216,150,7.28808
74.736489,150,8.392867
64.327657,150,9.494658
75.363111,150,23.730979
79.249813,150,25.030671
62.054593,150,26.302145
71.883837,150,27.546193
75.638138,150,28.80569
62.229093,150,30.041641
74.865622,150,31.304132
60.774575,150,34.660745
58.927133,150,36.007235
62.196712,150,37.282765
74.573372,150,38.568044
73.064158,150,39.863826
66.492603,150,41.122909
64.3748,150,42.3656
63.533262,150,46.82526
54.63787,150,48.021606
66.41503,150,49.24107
67.347321,150,50.491181
67.682557,150,51.734803
61.216882,150,52.962131
58.959284,150,54.178642
68.713597,150,68.209319
54.122128,150,69.41401
53.680417,150,70.60998
65.829253,150,71.812807
56.585657,150,73.095004
62.579131,150,74.411636
65.45948,150,75.665486
75.96415,150,89.845765
71.271875,150,91.106745
55.19435,150,92.361607
71.279009,150,93.617951
63.984532,150,94.853986
73.60408,150,96.119766
79.031376,150,110.317137
58.470284,150,111.573707
52.670409,150,112.889137
56.517659,150,114.296599
63.355077,150,115.680499
63.619804,150,117.041631
72.909657,150,118.39489
67.663053,150,133.302225
62.88158,150,134.594261
69.535361,150,135.830623
65.445863,150,137.065139
74.122108,150,138.366638
76.618091,150,139.596136
77.74878,150,140.81463
76.967935,150,154.816944
65.56061,150,156.024219
75.553979,150,157.2574
60.777825,150,158.488294
60.192577,150,159.709638
67.189168,150,160.954306
53.464444,150,162.174812
74.444893,150,176.854523
76.235931,150,178.210097
68.515724,150,179.564346
56.619317,150,180.942439
64.110237,150,182.303149
77.191282,150,183.62745
58.324978,150,184.940494
61.971349,150,199.422298
81.182973,150,200.665871
61.841728,150,201.94843
65.218647,150,203.210969
54.340386,150,204.488575
72.626423,150,205.787319
62.325555,150,207.050647
58.144686,150,221.075491
56.356008,150,222.310654
59.006991,150,223.541664
76.412625,150,224.769151
55.539325,150,226.017771
61.015948,150,227.276629
62.059528,150,241.401121
65.120635,150,242.664871
62.279532,150,243.878581
52.881229,150,245.09716
63.51345,150,246.304264
57.685668,150,247.57039
55.231401,150,248.867696
69.304528,150,263.145307
60.997312,150,264.374459
78.309884,150,265.601175
75.518984,150,266.840614
77.091152,150,268.056941
62.773177,150,269.32466
74.000951,150,270.527271
69.872942,150,284.801132
63.175847,150,286.045249
60.597416,150,287.300129
54.934208,150,288.568083
71.945652,150,289.842782
62.590706,150,291.138622
65.850045,150,292.434129
68.61608,150,307.043755
82.753019,150,308.381979
57.903919,150,309.762962
54.729966,150,311.127164
64.763826,150,312.505171
72.916759,150,313.903663
67.168054,150,315.303626
62.997065,150,330.270148
60.003172,150,331.65004
76.242293,150,333.017692
54.559972,150,334.398738
64.217476,150,335.720933
56.168883,150,337.048717
73.892258,150,338.35625
71.994118,150,353.36655
76.98433,150,354.777192
58.036363,150,356.181555
77.807732,150,357.556216
69.806334,150,358.938824
81.41441,150,360.346605
82.465307,150,375.17637
69.857319,150,376.463498
70.585909,150,377.705624
59.433977,150,378.969191
56.485485,150,380.253143
57.484013,150,381.554675
62.176862,150,382.856609
78.878575,150,397.518365
70.409676,150,398.779153
74.340347,150,400.049697
52.662311,150,401.352093
75.344863,150,402.611398
75.419823,150,403.903508
69.329331,150,405.2254
59.276439,150,419.8934
55.563945,150,421.216333
69.681881,150,422.680737
65.339877,150,423.981672
76.030539,150,425.287754
75.624967,150,426.631525
59.387918,150,428.012637
69.438886,150,442.886129
82.312016,150,444.215939
82.740172,150,445.555718
69.627758,150,446.909333
78.954102,150,448.253007
66.2294,150,449.6008
68.97345,150,450.936312
63.590608,150,465.932274
60.985728,150,467.233014
63.269583,150,468.508494
75.144068,150,469.754371
75.946989,150,471.010704
72.113287,150,472.257325
76.282562,150,473.533267
73.955869,150,487.673548
80.870348,150,488.928472
58.22514,150,490.217567
62.753617,150,491.541716
69.952485,150,492.815909
77.69745,150,494.122221
63.587181,150,508.373324
55.199929,150,509.618461
73.11247,150,510.839363
80.184791,150,512.064723
65.336685,150,513.294583
66.793868,150,514.561644
66.862639,150,515.766883
59.788304,150,529.774425
55.84035,150,530.995026
53.48326,150,532.218992
59.765066,150,533.44136
80.755614,150,534.667387
57.972938,150,535.921005
55.874817,150,537.139891
69.247938,150,551.36073
54.17963,150,552.580283
71.175123,150,553.83579
59.370072,150,555.177355
54.322321,150,556.451123
56.923756,150,557.684216
67.99437,150,558.964385
51.083521,150,573.263021
60.27618,150,574.849804
63.761086,150,576.126378
60.437705,150,577.410535
58.070239,150,578.721861
75.579808,150,580.05637
65.81039,150,581.306069
65.516985,150,595.709197
81.394457,150,596.986126
78.003676,150,598.461858
78.003677,150,599.71526
57.380948,150,600.958431
66.409913,150,602.267815
61.464861,150,616.664224
57.032715,150,617.949965
71.581827,150,619.241198
60.929667,150,620.4997
57.402071,150,621.766011
78.663306,150,623.097754
56.984095,150,624.36675
76.206028,150,638.808207
79.779428,150,640.098711
77.70169,150,641.337255
59.846363,150,642.642236
76.008157,150,644.143701
77.457003,150,645.456744
71.035451,150,646.840627
76.075294,150,661.867165
75.76723,150,663.258763
72.204348,150,664.642018
69.641707,150,666.045386
56.561878,150,667.426392
58.097436,150,668.786724
63.722509,150,670.165677
70.311944,150,685.273998
59.436157,150,686.668361
63.64525,150,688.079196
68.935986,150,689.547791
77.104254,150,690.936276
62.865365,150,692.351324
61.896058,150,693.728603
76.341286,150,708.929154
69.593276,150,710.210724
60.766058,150,711.495185
78.760353,150,712.747042
64.747222,150,714.052991
66.948687,150,715.259282
65.39095,150,716.479817
66.843705,150,730.809134
73.969837,150,732.039855
69.91501,150,733.302124
64.303486,150,734.539544
77.531633,150,735.760666
77.84995,150,736.958767
75.817777,150,751.280353
53.56569,150,752.529277
63.618587,150,753.753095
60.138376,150,754.968308
74.167908,150,756.225913
57.719353,150,757.542804
72.843458,150,758.835435
62.309132,150,773.583824
77.778018,150,774.944298
78.605847,150,776.303485
