#{"t_start": 1764393610.714457, "env_id": "None"}
r,l,t
60.588929,150,3.761549
64.69955,150,4.891335
57.061818,150,6.004539
57.636101,150,7.135955
78.428809,150,8.23972
74.688711,150,9.340513
64.67724,150,23.577832
82.339644,150,24.877524
65.169407,150,26.148998
66.887184,150,27.393046
61.441647,150,28.651483
58.342846,150,29.888494
76.436527,150,31.150986
79.716361,150,34.506578
64.365556,150,35.852094
64.651243,150,37.127563
76.413378,150,38.414897
65.570733,150,39.708549
51.55776,150,40.968367
67.459822,150,42.212453
73.247476,150,46.672113
55.16522,150,47.867197
68.033095,150,49.088983
78.437504,150,50.338035
54.540364,150,51.580657
80.345457,150,52.808984
60.740301,150,54.025495
74.988046,150,68.054171
63.422257,150,69.260864
64.948924,150,70.455834
60.052661,150,71.65966
68.094138,150,72.941857
59.837212,150,74.258489
52.967815,150,75.513339
63.195221,150,89.693619
80.008357,150,90.951575
58.144557,150,92.20746
76.406385,150,93.463753
53.007385,150,94.700839
52.91047,150,95.965622
71.769457,150,110.16399
77.441612,150,111.422591
79.54439,150,112.73599
54.583159,150,114.142442
66.340963,150,115.526352
69.65233,150,116.887011
56.501666,150,118.242745
76.463693,150,133.149079
70.354631,150,134.439085
67.231782,150,135.676478
65.265513,150,136.910682
51.741621,150,138.21108
78.668936,150,139.444441
64.297339,150,140.661484
81.206733,150,154.665825
54.35262,150,155.870073
57.647066,150,157.104254
57.863831,150,158.336446
56.992581,150,159.55536
56.728756,150,160.801159
56.362738,150,162.021665
74.3696,150,176.699348
75.019006,150,178.054942
65.197381,150,179.411199
78.48655,150,180.788271
75.848982,150,182.147954
71.729985,150,183.474304
63.347231,150,184.787348
60.79872,150,199.267125
63.912132,150,200.512725
72.042748,150,201.796281
69.270871,150,203.056823
62.382999,150,204.333431
57.077278,150,205.63517
62.155461,150,206.8975
56.973175,150,220.922345
61.656323,150,222.155017
64.06231,150,223.388517
73.074426,150,224.617998
73.866407,150,225.864624
63.633776,150,227.121969
49.791404,150,241.245946
55.880264,150,242.511725
64.382991,150,243.725434
65.062465,150,244.945033
69.143234,150,246.151117
81.450468,150,247.417243
54.703944,150,248.714549
74.110908,150,262.989909
80.726791,150,264.221312
63.219858,150,265.445986
72.021272,150,266.686469
62.116957,150,267.903795
60.536345,150,269.171514
55.40821,150,270.37171
58.225982,150,284.645884
76.111314,150,285.888017
64.29738,150,287.144981
63.593557,150,288.412901
72.7412,150,289.688617
71.16701,150,290.987593
78.933183,150,292.280982
79.659525,150,306.888602
63.848674,150,308.226835
78.147143,150,309.604704
63.900205,150,310.971512
60.419248,150,312.352025
64.224568,150,313.748523
78.191012,150,315.149476
62.667509,150,330.115997
72.472216,150,331.495898
62.104297,150,332.863494
57.558657,150,334.245592
62.062013,150,335.565778
81.834153,150,336.895571
77.435271,150,338.203103
78.309532,150,353.211412
70.513716,150,354.622052
80.667582,150,356.028408
76.933607,150,357.404497
82.56529,150,358.785677
77.722236,150,360.192462
64.15359,150,375.02176
74.397139,150,376.307361
65.716366,150,377.552477
70.093432,150,378.816044
55.582407,150,380.099997
68.848856,150,381.402737
60.949713,150,382.701174
63.723981,150,397.365218
75.162602,150,398.625007
56.011404,150,399.896551
76.001395,150,401.198946
64.138318,150,402.458251
74.68665,150,403.750361
58.874337,150,405.072254
60.458796,150,419.738258
61.40588,150,421.061172
55.88192,150,422.525537
62.568986,150,423.825475
67.395917,150,425.134608
65.067487,150,426.478378
66.521648,150,427.85849
57.02823,150,442.732982
80.526978,150,444.059793
64.218391,150,445.402571
76.975243,150,446.754188
70.987511,150,448.097568
75.261659,150,449.445659
62.186256,150,450.782164
64.683258,150,465.777133
56.927914,150,467.078843
57.241576,150,468.354348
73.096525,150,469.601224
57.689416,150,470.857557
62.231229,150,472.105178
63.501007,150,473.38012
67.551849,150,487.51836
68.577639,150,488.774066
78.954662,150,490.063346
68.355172,150,491.387073
59.617628,150,492.662762
78.77621,150,493.969074
61.830023,150,508.220177
64.533981,150,509.465314
56.563706,150,510.685201
73.636693,150,511.910578
58.944671,150,513.139404
62.924246,150,514.406471
80.617267,150,515.611738
57.895087,150,529.620276
63.409154,150,530.838887
62.445017,150,532.066844
63.847698,150,533.288213
59.821809,150,534.51424
68.442451,150,535.767858
63.40601,150,536.988121
53.60213,150,551.205586
69.068901,150,552.424124
68.893524,150,553.679643
60.622247,150,555.024209
79.143623,150,556.297977
77.525544,150,557.531069
76.471471,150,558.808181
81.045729,150,573.110875
54.93545,150,574.696658
71.464871,150,575.968804
79.90482,150,577.25639
63.268736,150,578.568715
73.40667,150,579.904222
66.570928,150,581.14893
70.063588,150,595.55605
54.950053,150,596.83298
73.626919,150,598.308711
64.653922,150,599.562114
66.532152,150,600.805285
55.432106,150,602.114669
77.927784,150,616.514163
81.0465,150,617.796818
73.914537,150,619.089099
63.821048,150,620.345554
61.955507,150,621.612864
61.457491,150,622.943281
57.66771,150,624.213604
57.739072,150,638.656269
60.066053,150,639.944566
51.489258,150,641.184109
52.011635,150,642.488065
55.273117,150,643.989557
69.807226,150,645.303597
55.78416,150,646.686481
59.654133,150,661.712012
64.622452,150,663.103622
68.464777,150,664.488871
64.360712,150,665.892239
68.650625,150,667.273246
69.839465,150,668.631582
71.164255,150,670.01253
60.606145,150,685.121854
61.294399,150,686.515214
74.035039,150,687.925045
61.506699,150,689.39365
79.854951,150,690.782124
66.844931,150,692.197181
