#{"t_start": 1764393610.7781434, "env_id": "None"}
r,l,t
56.389285,150,3.698877
62.703619,150,4.827648
65.960879,150,5.940853
54.369298,150,7.071247
61.138113,150,8.176034
61.867683,150,9.276826
74.26525,150,23.514146
61.303411,150,24.813838
50.013273,150,26.085312
74.572748,150,27.32936
62.619684,150,28.588857
62.297391,150,29.824807
52.605705,150,31.087299
62.162552,150,34.442892
52.656021,150,35.786414
65.008405,150,37.064917
69.136217,150,38.351211
71.103068,150,39.644863
52.544949,150,40.90468
72.606758,150,42.148767
78.504759,150,46.609426
70.384177,150,47.805772
75.79124,150,49.024237
62.894762,150,50.273349
73.534214,150,51.51697
67.187442,150,52.745297
74.554877,150,53.961809
63.186917,150,67.990485
65.34235,150,69.197177
53.250504,150,70.391149
73.65273,150,71.593976
74.644823,150,72.878171
58.784789,150,74.194803
61.569667,150,75.449652
64.986552,150,89.628932
67.933745,150,90.887888
64.230622,150,92.144774
82.235507,150,93.400067
71.972271,150,94.637153
64.640707,150,95.900939
74.058889,150,110.100303
63.777751,150,111.355662
56.89074,150,112.674316
54.549631,150,114.078755
72.052411,150,115.462666
79.566881,150,116.823325
55.723477,150,118.176795
79.339575,150,133.08335
65.643904,150,134.376428
54.523807,150,135.612792
57.316522,150,136.849319
70.836933,150,138.147393
77.446734,150,139.380755
57.405874,150,140.596796
62.030388,150,154.60111
77.034286,150,155.807386
62.015588,150,157.039547
66.018737,150,158.27276
65.805874,150,159.492805
71.103861,150,160.738472
73.941712,150,161.957979
52.697329,150,176.63769
78.731453,150,177.992263
64.217042,150,179.346512
48.207821,150,180.724585
78.287316,150,182.084267
65.349781,150,183.410617
62.315319,150,184.722662
75.004467,150,199.203439
62.178547,150,200.449038
68.312537,150,201.731596
59.021655,150,202.994136
59.957214,150,204.270743
60.440977,150,205.570486
74.81969,150,206.832813
77.965138,150,220.857661
52.129833,150,222.092822
66.945725,150,223.324831
65.967606,150,224.551321
79.953302,150,225.800938
59.997432,150,227.05628
57.590414,150,241.183282
80.41367,150,242.447036
76.269853,150,243.661748
65.854494,150,244.880327
76.881534,150,246.087431
62.396191,150,247.353556
61.25912,150,248.650863
68.815079,150,262.926222
80.409994,150,264.157626
56.318856,150,265.3823
57.490929,150,266.623781
64.136377,150,267.839111
74.921378,150,269.109019
68.895933,150,270.310438
77.408379,150,284.582197
64.311326,150,285.824331
77.357446,150,287.081295
54.73416,150,288.349214
80.857955,150,289.624931
78.195166,150,290.921788
67.825773,150,292.217296
55.098834,150,306.825915
69.927725,150,308.165146
72.213655,150,309.541018
60.857325,150,310.907825
64.750371,150,312.287338
68.2716,150,313.685833
57.720919,150,315.085789
60.561083,150,330.051307
67.668165,150,331.432212
62.208792,150,332.799807
