#{"t_start": 1764343590.9309306, "env_id": "None"}
r,l,t
-437.217374,150,4.60341
-402.645123,150,6.270166
-432.362519,150,7.870491
-406.469009,150,9.464308
-432.718516,150,11.068347
-408.420211,150,12.660515
-414.850951,150,14.290356
-425.067458,150,15.861832
-427.864671,150,17.463773
-402.470809,150,19.062756
-446.205,150,20.733803
-408.918232,150,22.461545
-427.202267,150,24.215371
-407.215353,150,72.245058
-443.294934,150,74.036714
-440.688352,150,75.761764
-419.689883,150,77.510407
-432.854405,150,79.234307
-403.972534,150,80.993621
-437.339614,150,82.776996
-425.343909,150,84.495008
-438.559562,150,86.288774
-425.730865,150,88.080002
-448.147701,150,89.922095
-419.269692,150,91.806782
-427.33817,150,93.591405
-414.751332,150,95.368582
-410.593949,150,144.6445
-425.640566,150,146.42336
-393.073268,150,148.190557
-441.923812,150,149.946875
-429.882152,150,151.739776
-431.471014,150,153.446338
-416.178101,150,155.248712
-420.43421,150,157.028291
-428.258149,150,158.768318
-409.08093,150,160.528801
-446.810556,150,162.355047
-422.847663,150,164.140794
-404.774072,150,165.866652
-418.334159,150,216.551781
-427.438006,150,218.333295
-438.781587,150,220.119935
-427.462178,150,221.873347
-432.336067,150,223.617857
-400.236317,150,225.400546
-409.143101,150,227.192356
-398.987876,150,228.961714
-434.70195,150,230.76396
-399.942325,150,232.587091
-399.186244,150,234.356864
-420.605356,150,236.127915
-432.614516,150,237.938211
-399.213335,150,239.740305
-412.045716,150,289.58701
-426.465659,150,291.32751
-427.528698,150,293.045413
-439.00632,150,294.857112
-435.191692,150,296.576798
-407.276033,150,298.340825
-421.200306,150,300.092836
-424.458618,150,301.863348
-429.521016,150,303.579448
-448.102663,150,305.356785
-412.522256,150,307.170315
-421.551592,150,308.911024
-426.007767,150,310.675703
-404.274942,150,312.472315
-417.717072,150,362.808472
-413.105762,150,364.594889
-427.638343,150,366.42365
-437.011649,150,368.197393
-442.405064,150,369.983811
-397.162818,150,371.80004
-443.806913,150,373.604698
-435.764064,150,375.452953
-419.012202,150,377.303845
-397.141505,150,379.125602
-407.29897,150,380.909143
-412.175238,150,382.739147
-419.727073,150,384.508984
-420.819946,150,433.950721
-407.611129,150,435.755732
-435.392743,150,437.465826
-397.031162,150,439.272237
-436.503663,150,441.024991
-419.442824,150,442.762418
-389.67752,150,444.478645
-406.192119,150,446.229797
-410.069852,150,447.969821
-389.171637,150,449.716434
-404.746951,150,451.535908
-407.129145,150,453.304852
-407.496933,150,455.083925
-408.543675,150,456.885238
-388.525486,150,504.595939
-408.568015,150,506.409373
-415.617611,150,508.216726
-415.868454,150,509.971096
-399.903647,150,511.739787
-412.971614,150,513.508943
-397.125409,150,515.290301
-403.81664,150,517.063221
-404.029783,150,518.865454
-402.940952,150,520.67275
-414.078425,150,522.431865
-392.016351,150,524.203676
-416.160642,150,525.984627
-390.492151,150,527.750841
-392.564166,150,577.970135
-405.261723,150,579.770842
-399.087916,150,581.576904
-393.955958,150,583.362376
-395.707541,150,585.213574
-402.981887,150,587.038809
-423.301033,150,588.799978
-377.954298,150,590.590356
-417.590256,150,592.4066
-376.109686,150,594.148474
-433.526026,150,595.912455
-401.057892,150,597.653016
-401.69235,150,599.431396
